Attribute,Attribute type,Acceptable values
Offerings: Cuisine (cuisine_types): Bengali (bengali),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Chinese (chinese),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Continental (continental),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Goan (goan),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Gujarati (gujarati),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Italian (italian),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Japanese (japanese),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Maharashtrian (maharashtrian),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Mexican (mexican),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Middle Eastern (middle_eastern),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Mughlai (mughlai),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): North Indian (north_indian),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Rajasthani (rajasthani),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): South Indian (south_indian),Yes/no,"Yes, No"
Offerings: Cuisine (cuisine_types): Thai (thai),Yes/no,"Yes, No"
Offerings: Dancing (has_dancing),Yes/no,"Yes, No"
Offerings: Demographic information updates (offers_aadhaar_demographic_info_updating),Yes/no,"Yes, No"
Offerings: Diesel gas (sells_gas_diesel),Yes/no,"Yes, No"
Offerings: Dishes (dish_types): Biryani (biryani),Yes/no,"Yes, No"
Offerings: Dishes (dish_types): Burger (burger),Yes/no,"Yes, No"
Offerings: Dishes (dish_types): Chaat (chaat),Yes/no,"Yes, No"
Offerings: Dishes (dish_types): Fast food (fast_food),Yes/no,"Yes, No"
Offerings: Dishes (dish_types): Juice (juice),Yes/no,"Yes, No"
Offerings: Dishes (dish_types): Momo (momo),Yes/no,"Yes, No"
Offerings: Dishes (dish_types): Pizza (pizza),Yes/no,"Yes, No"
Offerings: Driving licenses (offers_driver_license),Yes/no,"Yes, No"
Offerings: Emergency services (offers_emergency_service),Yes/no,"Yes, No"
Offerings: Ethanol-free gas (sells_gas_ethanol_free),Yes/no,"Yes, No"
Offerings: Flowers (sells_cut_flowers),Yes/no,"Yes, No"
Offerings: Food (serves_food),Yes/no,"Yes, No"
Offerings: Food at bar (serves_food_at_bar),Yes/no,"Yes, No"
Offerings: Free air (has_free_air),Yes/no,"Yes, No"
Offerings: Free water refills (has_free_water_refills),Yes/no,"Yes, No"
Offerings: Full service gas (has_full_service_gas),Yes/no,"Yes, No"
Offerings: Furniture rental (has_furniture_rental),Yes/no,"Yes, No"
Offerings: Gift shop (has_gift_shop),Yes/no,"Yes, No"
Offerings: Golf carts (offers_golf_carts),Yes/no,"Yes, No"
Offerings: Grilling (allows_grilling),Yes/no,"Yes, No"
Offerings: Halal food (serves_halal_food),Yes/no,"Yes, No"
Offerings: Hand car wash (has_hand_car_wash),Yes/no,"Yes, No"
Offerings: Happy hour drinks (serves_happy_hour_drinks),Yes/no,"Yes, No"
Offerings: Happy hour food (serves_happy_hour_food),Yes/no,"Yes, No"
Offerings: Hard liquor (serves_liquor),Yes/no,"Yes, No"
Offerings: Has online care (has_video_visits),Yes/no,"Yes, No"
Offerings: IV therapy (has_iv_therapy),Yes/no,"Yes, No"
Offerings: Installation service (has_service_installation),Yes/no,"Yes, No"
Offerings: Kids' shoes (sells_shoes_for_children),Yes/no,"Yes, No"
Offerings: Kids' tours (has_tours_for_children),Yes/no,"Yes, No"
Offerings: Kids' toys (sells_toys_for_children),Yes/no,"Yes, No"
Offerings: LPG (offers_liquefied_petroleum_gas),Yes/no,"Yes, No"
Offerings: Late-night food (serves_late_night_food),Yes/no,"Yes, No"
Offerings: Lifeguard (has_lifeguard),Yes/no,"Yes, No"
Offerings: Matinees (has_matinees),Yes/no,"Yes, No"
Offerings: Men's clothing (sells_clothing_for_men),Yes/no,"Yes, No"
Offerings: Men's shoes (sells_shoes_for_men),Yes/no,"Yes, No"
Offerings: Mobile number updates (offers_aadhaar_mobile_number_updating),Yes/no,"Yes, No"
Offerings: Oil change (has_oil_change),Yes/no,"Yes, No"
Offerings: Onsite chapel (has_onsite_chapel),Yes/no,"Yes, No"
Offerings: Organic dishes (serves_organic),Yes/no,"Yes, No"
Offerings: Organic products (sells_organic_products),Yes/no,"Yes, No"
Offerings: PUC Certification (offers_pollution_under_control_certification),Yes/no,"Yes, No"
Offerings: Passport photos (has_onsite_passport_photos),Yes/no,"Yes, No"
Offerings: Pediatric care (offers_pediatric_care),Yes/no,"Yes, No"
Offerings: Pertamax fuel (offers_pertamax_fuel),Yes/no,"Yes, No"
Offerings: Pertamina Dex fuel (offers_pertamina_dex_fuel),Yes/no,"Yes, No"
Offerings: Pharmacy (has_pharmacy),Yes/no,"Yes, No"
Offerings: Post Office Savings Accounts (offers_postal_savings_account),Yes/no,"Yes, No"
Offerings: Prasad for purchase (offers_prasad),Yes/no,"Yes, No"
Offerings: Prepared foods (sells_food_prepared),Yes/no,"Yes, No"
Offerings: Private dining room (has_private_dining_room),Yes/no,"Yes, No"
Offerings: RV camping (allows_camping_vehicles_recreational),Yes/no,"Yes, No"
Offerings: RV electric hookup (has_rv_electric_hookup),Yes/no,"Yes, No"
Offerings: RV sewer hookup (has_rv_sewage_hookup),Yes/no,"Yes, No"
Offerings: RV water hookup (has_rv_water_hookup),Yes/no,"Yes, No"
Offerings: Repair services (has_service_repair),Yes/no,"Yes, No"
Offerings: Road tax payments (has_road_tax_payment_section),Yes/no,"Yes, No"
Offerings: Salad bar (has_salad_bar),Yes/no,"Yes, No"
Offerings: Sauna (has_sauna),Yes/no,"Yes, No"
Offerings: Sedation dentistry (offers_sedation_dentistry),Yes/no,"Yes, No"
Offerings: Service guarantee (has_service_guarantee),Yes/no,"Yes, No"
Offerings: Sing-along screenings (has_sing_alongs),Yes/no,"Yes, No"
Offerings: Skincare treatments (offers_skincare),Yes/no,"Yes, No"
Offerings: Small plates (serves_small_plates),Yes/no,"Yes, No"
Offerings: Speed Post (offers_speed_post),Yes/no,"Yes, No"
Offerings: Theater (has_theater),Yes/no,"Yes, No"
Offerings: Undercarriage cleaning (offers_undercarriage_cleaning),Yes/no,"Yes, No"
Offerings: Used goods (sells_goods_used),Yes/no,"Yes, No"
Offerings: Vegan options (serves_vegan),Yes/no,"Yes, No"
Offerings: Vegetarian options (serves_vegetarian),Yes/no,"Yes, No"
Offerings: Vegetarian options only (serves_vegetarian_only),Yes/no,"Yes, No"
Offerings: Vehicle registration (offers_vehicle_registration_certificate),Yes/no,"Yes, No"
Offerings: Wine (serves_wine),Yes/no,"Yes, No"
Offerings: Women prayer section (has_women_prayer_section),Yes/no,"Yes, No"
Offerings: Women's clothing (sells_clothing_for_women),Yes/no,"Yes, No"
Offerings: Women's shoes (sells_shoes_for_women),Yes/no,"Yes, No"
Offerings: X-ray (has_x_ray),Yes/no,"Yes, No"
Parking: Free parking garage (has_parking_garage_free),Yes/no,"Yes, No"
Parking: Free parking lot (has_parking_lot_free),Yes/no,"Yes, No"
Parking: Free street parking (has_parking_street_free),Yes/no,"Yes, No"
Parking: On-site parking (has_onsite_parking),Yes/no,"Yes, No"
Parking: Paid parking garage (has_parking_garage_paid),Yes/no,"Yes, No"
Parking: Paid parking lot (has_parking_lot_paid),Yes/no,"Yes, No"
Parking: Paid street parking (has_parking_street_paid),Yes/no,"Yes, No"
Parking: Valet parking (has_parking_valet),Yes/no,"Yes, No"
Payments: Admission fee (has_admission_fee),Yes/no,"Yes, No"
Payments: Alelo (accepts_alelo_meal_voucher),Yes/no,"Yes, No"
Payments: Bimpli (accepts_cheque_apetiz_meal_voucher),Yes/no,"Yes, No"
Payments: Camping fee (has_camping_fee),Yes/no,"Yes, No"
Payments: Cash-only (requires_cash_only),Yes/no,"Yes, No"
Payments: Checks (pay_check),Yes/no,"Yes, No"
Payments: Cheque Dejeuner (accepts_cheque_dejeuner_meal_voucher),Yes/no,"Yes, No"
Payments: Credit cards (pay_credit_card),Yes/no,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): American Express (american_express),Yes/no,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): China Union Pay (china_union_pay),Yes/no,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): Diners Club (diners_club),Yes/no,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): Discover (discover),Yes/no,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): JCB (jcb),Yes/no,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): MasterCard (mastercard),Yes/no,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): VISA (visa),Yes/no,"Yes, No"
Payments: Debit cards (pay_debit_card),Yes/no,"Yes, No"
Payments: Google Pay (pay_mobile_tez),Yes/no,"Yes, No"
Payments: Meal coupons (accepts_meal_coupons),Yes/no,"Yes, No"
Payments: NFC mobile payments (pay_mobile_nfc),Yes/no,"Yes, No"
Payments: PayPay (pay_epayment_paypay),Yes/no,"Yes, No"
Payments: Payment plans (accepts_payment_plan),Yes/no,"Yes, No"
Payments: Pluxee (accepts_sodexo_meal_voucher),Yes/no,"Yes, No"
